text,label,source
hi all we are looking for a wheat farmer near austin who we can purchase approximately 300 bales from please e mail me at the referenced address or call at 512 263 0177 during business hours central standard time if you can help thanks ben obregon a i a,legitimate,enron
probably want to pick up more,legitimate,UCI_SMS
also are you bringing galileo or dobby,legitimate,UCI_SMS
cool i ll text you when i m on the way,legitimate,UCI_SMS
at what time are you coming,legitimate,UCI_SMS
urgent your mobile was awarded a 1 500 bonus caller prize on 27 6 03 our final attempt 2 contact u call 08714714011,phishing,UCI_SMS
your unique user id is 1172 for removal send stop to 87239 customer services 08708034412,phishing,UCI_SMS
for ur chance to win 250 cash every wk txt play to 83370 t s c s www music trivia net custcare 08715705022 1x150p wk,phishing,UCI_SMS
back 2 work 2morro half term over can u c me 2nite 4 some sexy passion b4 i have 2 go back chat now 09099726481 luv dena calls 1 minmobsmorelkpobox177hp51fl,phishing,UCI_SMS
free video camera phones with half price line rental for 12 mths and 500 cross ntwk mins 100 txts call mobileupd8 08001950382 or call2optout 674,phishing,UCI_SMS
stephanie sally would like to renew this subscription i m sorry i did not respond earlier her co is 0413 cc 105588 please let me know if you require additional information thanks patti thompson x39106 enron north america corp from stephanie e taylor 12 12 2000 04 34 pm to sally beck hou ect ect cc subject subscription dear sally your subscription to energy power risk management will expire this month the subscription cost through december 2001 will be reg subscription cost with corp discount energy power risk management 375 00 318 75 if you wish to renew this we will be happy to take care of this for you we would appreciate your responding by december 18th please include your company and cost center numbers with your renewal thank you stephanie e taylor esource,legitimate,enron
free msg single find a partner in your area 1000s of real people are waiting to chat now send chat to 62220cncl send stopcs 08717890890 1 50 per msg,phishing,UCI_SMS
looks like this is back in the right spot for discussion forwarded by sally beck hou ect on 04 03 2001 09 13 am john sherriff 04 03 2001 08 11 am to wes colwell enron enronxgate enron cc sally beck hou ect ect fernley dyson lon ect subject re fw changes to the executive viewer thanks wes i will discuss with mike and jeff john from wes colwell enron enronxgate on 09 03 2001 08 10 cst to john sherriff lon ect ect cc sally beck hou ect ect fernley dyson lon ect ect subject fw changes to the executive viewer john there has been a fair amount of discussion about this as well as the reporting of drift for the north america businesses both mike mcconnell and jeff shankman are opposed to moving the location of drift in the dpr i know that north america included us drift in its plan and includes drift earnings in its margin i believe you do the same in europe jeff is adamant that we not move us drift from egm s section of the dpr and has asked for uk drift to remain as well you may want to call jeff sally and i will do what ever you guys decide original message from jeffrey a shankman sent wednesday february 28 2001 2 15 pm to wes colwell cc sally beck subject fw changes to the executive viewer please deal with this wes you know what i think and what we ve decided on jeff original message from hickerson gary sent wednesday february 28 2001 7 23 am to jeffrey a shankman hou ect enron subject changes to the executive viewer fyi gary forwarded by gary hickerson hou ect on 02 28 2001 07 21 am michael kass enron 02 27 2001 06 07 pm to gary hickerson hou ect ect cc chris abel hou ect ect kenneth thibodeaux na enron enron subject changes to the executive viewer gary i prepare the london summary and i have been requested by john sherriff here in london to have changes made to the reporting format of the executive viewer report john s request and the changes he has asked for are detailed below in essence john would like enron europe s uk drift revenue to be reported under the enron europe heading in the exec viewer instead of being reported under the global markets heading if you agree to this change could you advise chris abel and johnny thibodeux to make the appropriate changes if however you would like to discuss the matter further please contact john sherriff regards michael forwarded by michael kass eu enron on 27 02 2001 23 50 john sherriff ect 23 02 2001 16 27 to james new lon ect ect michael kass eu enron enron cc subject re john please authorise changes to the executive viewer michael please move forward with these changes john james new 23 02 2001 16 14 to john sherriff lon ect ect cc subject john please authorise changes to the executive viewer john the attached is the format i believe we discussed and agreed with ted a few days ago in order that the guys in houston will make the changes they require your authorisation if you can authorise by return then michael kass and i will forward it on to the necessary people below if you are not happy with the attached please let me know what needs to be changed thanks james forwarded by james new lon ect on 23 02 2001 16 14 michael kass enron 22 02 2001 10 47 to james new lon ect ect cc subject changes to the executive viewer changes are required to the reporting format of enron europe s p l in the executive viewer below is a list of these changes as well as the person responsible for effecting each change gary hickerson the uk drift book is to be reclassified from the enron global markets heading to the enron europe heading susie ayala the enron europe net fair value equity investments book is to reclassified from merchant summary to the enron europe heading chris abel the following changes are to be made to the books reported under the enron europe heading j block is to be reported as a separate line item structured derivatives uk is to include all other structured derivatives and power gas accruals currently reported under other line item for each of the electricty books could you change the word electricity to power in the headings for consistency purposes,legitimate,enron
hmm yeah if your not too grooved out and im looking forward to my pound special,legitimate,UCI_SMS
get your garden ready for summer with a free selection of summer bulbs and seeds worth 33 50 only with the scotsman this saturday to stop go2 notxt co uk,phishing,UCI_SMS
a link to your picture has been sent you can also use,phishing,UCI_SMS
what s the significance,legitimate,UCI_SMS
call 09095350301 and send our girls into erotic ecstacy just 60p min to stop texts call 08712460324 nat rate,phishing,UCI_SMS
hey r still online i ve finished the formatting,legitimate,UCI_SMS
valentines day special win over 1000 in our quiz and take your partner on the trip of a lifetime send go to 83600 now 150p msg rcvd custcare 08718720201,phishing,UCI_SMS
urgent we are trying to contact u todays draw shows that you have won a 2000 prize guaranteed call 09066358361 from land line claim y87 valid 12hrs only,phishing,UCI_SMS
reason is if the team budget is available at last they buy the unsold players for at base rate,legitimate,UCI_SMS
you ll not rcv any more msgs from the chat svc for free hardcore services text go to 69988 if u get nothing u must age verify with yr network try again,phishing,UCI_SMS
call from 08702490080 tells u 2 call 09066358152 to claim 5000 prize u have 2 enter all ur mobile personal details the prompts careful,phishing,UCI_SMS
ur hmv quiz cash balance is currently 500 to maximize ur cash in now send hmv1 to 86688 only 150p msg,phishing,UCI_SMS
k i ll work something out,legitimate,UCI_SMS
sally we would like to send you this graph periodically please let me know how often you would like it it will track our dpr delivery times and provide explanations for any delays we experience we have made some progress this last week mike,legitimate,enron
how long does applebees fucking take,legitimate,UCI_SMS
ken lay and jeff skilling were interviewed on cnnfn to discuss the succession of jeff to ceo of enron we have put the interview on iptv for your viewing pleasure simply point your web browser to click the link for special events and then choose enron s succession plan the interview will be available every 15 minutes through friday dec 15,legitimate,enron
8007 25p 4 alfie moon s children in need song on ur mob tell ur m8s txt tone charity to 8007 for nokias or poly charity for polys zed 08701417012 profit 2 charity,phishing,UCI_SMS
this weeks savamob member offers are now accessible just call 08709501522 for details savamob pobox 139 la3 2wu only 1 50 week savamob offers mobile,phishing,UCI_SMS
important message this is a final contact attempt you have important messages waiting out our customer claims dept expires 13 4 04 call 08717507382 now,phishing,UCI_SMS
you are right meanwhile how s project twins comin up,legitimate,UCI_SMS
its going good no problem but still need little experience to understand american customer voice,legitimate,UCI_SMS
shall i come to get pickle,legitimate,UCI_SMS
are you in town this is v important,legitimate,UCI_SMS
dear voucher holder to claim this weeks offer at you pc please go to ts cs apply to stop texts txt stop to 80062,phishing,UCI_SMS
jus ans me lar u ll noe later,legitimate,UCI_SMS
sunshine hols to claim ur med holiday send a stamped self address envelope to drinks on us uk po box 113 bray wicklow eire quiz starts saturday unsub stop,phishing,UCI_SMS
bought one ringtone and now getting texts costing 3 pound offering more tones etc,phishing,UCI_SMS
i don t know u and u don t know me send chat to 86688 now and let s find each other only 150p msg rcvd hg suite342 2lands row w1j6hl ldn 18 years or over,phishing,UCI_SMS
have you had a chance to talk with dave b on any of this it might be helpful for you to put a call in to tom martin today to give him your phone number and to let him know that you are working closely with dave and that you are available for any questions nothing may come up but i think that tom would feel better with this gesture probably wouldn t hurt to log the same call or e mail in to the rest of the guys on the list that will give all of them a feeling of continuity with regard to information from dave on this project do you have contact information for brenda if not i would get that from yvette convey her assistant she is making the rounds with patrick conner and the corporate development team doing site visits on two additional paper mills that we may purchase thanks sally forwarded by sally beck hou ect on 08 28 2000 08 50 am enron north america corp from brenda f herod 08 25 2000 06 26 pm to patrick wade hou ect ect thomas a martin hou ect ect edward d gottlob hou ect ect jim schwieger hou ect ect brian redmond hou ect ect jim coffey hou ect ect wes colwell hou ect ect steve jackson hou ect ect david baumbach hou ect ect cc sally beck hou ect ect yvette g connevey corp enron enron subject project triple lutz to date my primary duties have been to oversee the internal valuation of the contracts and their unwind costs in our risk books i have also been involved with the entex contract valuation dave baumbach has been the real key to providing the data and has all of the information steve jackson is talking with ed mcmichael of structuring on monday to get some additional eyes and resources looking at this also i feel we have done a thorough job but we do need everyone thinking of what if s our risk books are complex with many hand offs internally obviously our goal is to ensure that all of the stones have been turned and there are no surprises at the end of the day i think structuring will really be helpful in this arena after our meeting yesterday i believe everyone is much more comfortable in our approach there were a couple of things that dave was going to follow up on fixed price deals especially calpine fyi i will be out of town on another project all of the week of 8 28 9 1 and tuesday 9 5 and wednesday 9 6 i have made arrangements to ensure that i am in houston on thursday 9 7 and friday 9 8 for the first visit to the triple lutz data room in my absence next week i want to reiterate to each of you that i am available and will have the triple lutz data with me if any issues come up that you feel i can be helpful please contact yvette connevey 713 853 5953 and she will get in touch with me once again do not hesitate to call me i do not want anything falling through the cracks,legitimate,enron
please add awais sally to distribution forwarded by bob shults hou ect on 01 27 2000 12 32 pm carrie southard 01 27 2000 09 54 am to amita gosalia lon ect ect angela connelly lon ect ect cc torrey moorer hou ect ect bob shults hou ect ect jennifer deboisblanc denny hou ect ect tara sweitzer hou ect ect subject eol report 1 26 hi amita and angela today went very smoothly we had one glitch in that uk power jumped the gun and changed their columns in today s report we were able to spot it and fix it getting the heads up from lara was greatly appreciated please continue to communicate changes you know about to us because it is a tremendous help thank you for your help hope you have a great afternoon carrie,legitimate,enron
networking job is there,legitimate,UCI_SMS
attached is june s curve validation memorandum please do not hesitate to call if you have any questions gary x35502,legitimate,enron
thanks 4 your continued support your question this week will enter u in2 our draw 4 100 cash name the new us president txt ans to 80082,phishing,UCI_SMS
so check your errors and if you had difficulties do correction,legitimate,UCI_SMS
nothing lor a bit bored too then y dun u go home early 2 sleep today,legitimate,UCI_SMS
your account has been credited with 500 free text messages to activate just txt the word credit to no 80488 t cs www 80488 biz,phishing,UCI_SMS
i have completed internal feedback forms through the pep system for brent price bob hall and peggy hedstrom those appeared to be the only names that you included for which you wanted my input somehow from andrea s voice mail message last week i had anticipated responding to more requests i thought perhaps input in working with wes within ena or melissa on sap those weren t on my list within the pep system so i just wanted you to know that i have responded to the three that were there if there was intent for me to respond to any others they weren t accessible in the system believe me i am not asking for more just wanted to be sure that what i saw in pep as a request matched your expectations in terms of my response sally,legitimate,enron
dear voucher holder to claim this weeks offer at you pc please go to ts cs apply,phishing,UCI_SMS
all e best 4 ur driving tmr,legitimate,UCI_SMS
